"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 04, 2019","124.70","126.55","126.90","123.02","1.59M","-1.50%"
"Apr 03, 2019","126.60","129.57","129.57","126.01","306.70K","-1.53%"
"Apr 02, 2019","128.57","132.05","133.00","126.00","441.40K","-2.82%"
"Apr 01, 2019","132.30","132.90","133.40","130.65","1.90M","-0.15%"
"Mar 29, 2019","132.50","134.00","137.00","131.10","2.14M","-0.53%"
"Mar 28, 2019","133.21","135.97","137.00","133.10","911.10K","-2.04%"
"Mar 27, 2019","135.99","136.50","140.00","135.00","628.70K","-0.19%"
"Mar 26, 2019","136.25","136.90","136.90","135.27","250.30K","0.19%"
"Mar 25, 2019","135.99","137.25","137.45","135.00","471.40K","-0.01%"
"Mar 22, 2019","136.00","136.99","137.45","135.97","237.70K","0.05%"
"Mar 21, 2019","135.93","135.00","137.20","133.20","380.80K","0.61%"
"Mar 20, 2019","135.11","136.20","136.20","134.20","1.34M","0.12%"
"Mar 19, 2019","134.95","137.00","137.01","134.25","895.00K","-1.85%"
"Mar 18, 2019","137.50","132.50","137.90","131.98","672.70K","3.47%"
"Mar 15, 2019","132.89","134.06","135.68","131.99","430.10K","-1.58%"
"Mar 14, 2019","135.03","133.76","136.00","133.76","284.30K","0.00%"
"Mar 13, 2019","135.03","134.50","135.53","133.50","380.10K","0.61%"
"Mar 12, 2019","134.21","136.10","136.99","132.99","551.20K","-1.46%"
"Mar 11, 2019","136.20","137.00","138.80","135.00","846.90K","0.15%"
"Mar 08, 2019","136.00","136.99","136.99","135.50","1.11M","-0.40%"
"Mar 07, 2019","136.55","137.50","138.00","136.05","929.90K","0.02%"
"Mar 06, 2019","136.52","137.00","137.75","136.00","561.90K","0.01%"
"Mar 05, 2019","136.51","138.00","139.00","136.00","890.10K","-1.10%"
"Mar 04, 2019","138.03","136.01","139.40","136.01","2.37M","1.84%"
"Mar 01, 2019","135.53","132.00","136.35","131.89","1.86M","3.12%"
"Feb 28, 2019","131.43","131.50","132.80","128.00","1.34M","0.91%"
"Feb 27, 2019","130.25","128.00","131.00","123.00","1.57M","1.76%"
"Feb 26, 2019","128.00","130.00","131.99","127.25","1.33M","-1.61%"
"Feb 25, 2019","130.09","134.00","134.00","129.50","992.00K","-2.69%"
"Feb 22, 2019","133.68","135.13","135.13","130.80","1.47M","-1.07%"
"Feb 21, 2019","135.13","140.19","140.28","132.53","2.49M","-3.04%"
"Feb 20, 2019","139.36","136.01","139.90","136.00","2.12M","1.06%"
"Feb 19, 2019","137.90","140.99","140.99","136.12","697.80K","-1.86%"
"Feb 18, 2019","140.52","142.00","142.00","139.70","789.50K","-0.29%"
"Feb 15, 2019","140.93","141.99","142.50","140.10","604.00K","0.23%"
"Feb 14, 2019","140.61","140.20","142.00","138.23","1.36M","0.45%"
"Feb 13, 2019","139.98","140.98","142.94","139.98","1.10M","0.05%"
"Feb 12, 2019","139.91","142.90","144.00","137.50","1.21M","-1.56%"
"Feb 11, 2019","142.13","148.00","148.30","139.99","1.37M","-2.46%"
"Feb 08, 2019","145.72","149.49","149.91","144.10","1.77M","-1.87%"
"Feb 07, 2019","148.49","150.00","150.50","148.15","1.72M","-0.87%"
"Feb 06, 2019","149.80","152.00","152.10","149.05","612.50K","-1.43%"
"Feb 04, 2019","151.98","150.71","152.98","150.50","922.40K","0.76%"
"Feb 01, 2019","150.83","149.95","151.99","149.80","1.44M","1.16%"
"Jan 31, 2019","149.10","149.00","150.24","148.00","1.23M","0.07%"
"Jan 30, 2019","149.00","148.70","150.00","148.70","822.10K","0.00%"
"Jan 29, 2019","149.00","149.40","149.95","148.00","737.40K","-0.33%"
"Jan 28, 2019","149.50","149.50","151.50","148.55","1.25M","0.34%"
"Jan 25, 2019","149.00","148.95","150.00","148.50","3.29M","0.60%"
"Jan 24, 2019","148.11","149.00","149.89","146.60","3.15M","2.38%"
"Jan 23, 2019","144.67","142.90","145.00","142.90","3.12M","2.06%"
"Jan 22, 2019","141.75","138.10","142.00","138.10","1.73M","2.64%"
"Jan 21, 2019","138.10","134.05","139.00","134.05","1.39M","3.06%"
"Jan 18, 2019","134.00","135.50","135.99","133.80","367.50K","-1.10%"
