Date,Open,High,Low,Close,Volume,Change
2019-03-05 19:00:00,298.18,298.25,295.91,297.58,83600,-0.67
2019-03-04 19:00:00,298.18,300.44,296.45,298.25,244200,0.2
2019-03-03 19:00:00,297.27,298.72,295.0,298.05,224100,0.81
2019-02-28 19:00:00,294.09,298.18,293.24,297.25,368400,0.8
2019-02-27 19:00:00,295.0,299.08,290.0,296.45,1363000,2.93
2019-02-26 19:00:00,292.73,297.28,278.68,293.52,2318100,1.38
2019-02-25 19:00:00,290.92,296.27,290.92,292.14,561700,-4.62
2019-02-24 19:00:00,299.95,299.95,296.36,296.75,103800,-2.17
2019-02-21 19:00:00,299.55,301.82,297.75,298.93,322300,-2.61
2019-02-20 19:00:00,302.5,302.73,299.09,301.54,397600,-0.95
2019-02-19 19:00:00,300.09,303.55,294.64,302.49,863600,5.45
2019-02-18 19:00:00,297.27,300.85,295.0,297.05,268800,-0.94
2019-02-17 19:00:00,296.36,300.0,294.65,297.98,328100,-0.19
2019-02-14 19:00:00,298.19,299.14,295.91,298.17,272700,0.21
2019-02-13 19:00:00,299.09,299.64,297.27,297.96,74600,-1.48
2019-02-12 19:00:00,302.55,303.63,298.41,299.45,126600,-2.28
2019-02-11 19:00:00,298.23,302.64,298.23,301.73,170700,1.75
2019-02-10 19:00:00,303.15,304.09,298.18,299.97,727300,-1.83
2019-02-07 19:00:00,305.55,308.14,299.65,301.8,913900,-4.25
2019-02-06 19:00:00,307.74,309.55,305.55,306.05,149200,-1.95
2019-02-05 19:00:00,306.32,310.68,305.45,307.99,774100,1.71
2019-02-03 19:00:00,305.99,307.81,304.55,306.28,320400,0.93
2019-01-31 19:00:00,303.77,307.25,303.77,305.35,181100,0.49
2019-01-30 19:00:00,305.0,307.25,303.86,304.86,437600,-0.93
2019-01-29 19:00:00,309.06,309.55,305.45,305.79,227500,-2.4
2019-01-28 19:00:00,307.73,308.63,306.45,308.19,200500,0.45
2019-01-27 19:00:00,306.36,308.18,304.55,307.74,308500,1.94
